Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Jul 7,90 mints,5 mints,30 mints,15 mints,2 hours,10 mints,,
Jul 8,90 mints,5 mints,0 mints ,10 mints,60 mints,20 mints,,
Jul 9,60 mints,5 mints ,0 mints,10 mints,10 mints,20 mints,,
Jul 10,90 mints,5 mints,5 mints,5 mints,5 mints,20 mints,,
Jul 11,holiday ,5 mints,rain,3 mints,70 mints,15 mints,,
Jul 12,holiday ,3 mints,30 mints,5 mints,2 hours,5 mints ,,
Jul 13,60 mints ,5 mints,0 mints ,10 mints ,4 hours,5 mints,,
Jul 14,70 mints,2 mints,2 mints,17 mints,3 hours,5 mints,,
Jul 15,60 mints ,3 mints ,0 mints ,6 mints,5 hours,20 mints ,,
Jul 16,60 mints,2 mints,0 mints,9 mints,3 hours ,15 mints,,
Jul 17,0 mints,1 mint,0 mints,40 mints,2 hours,10 mints,,
Jul 18,60 mints,2 mints,0 mints,12 mints,3 hours,10 mints,,
Jul 19,5 mints,2 mints,0 mints,13 mints,3 hours,10 mints,,
Jul 20,holiday ,18 mints ,0 mints ,2 mints,3 hours,15 mints ,,
Jul 21,90 mints ,5 mints ,5 mints ,50 mints,3 hours,5 mints,,
Jul 22,90 mints,5 mints,0 mints ,10 mints ,4 hours,15 mints ,,
Jul 23,80 mints ,5 mints ,30 mints ,17 mints ,3 hours,20 mints ,,
Jul 24,20 mints,4 mints ,0 mints ,25 mints ,3 hours ,10 mints ,,
Jul 25,60 mints ,2 mints ,5 mints,12 mints,3 hours ,10 mints ,,
Jul 26,5 mints ,5 mints ,0 mints ,11 mints ,2 hours,10 mints ,,
Jul 27,60 mints ,6 mints ,0 mints ,13 mints ,1 hour,10 mints ,,
Jul 28,30 mints,5 mints,0 mints,10 mints ,2 hours ,10 mints ,,
Jul 29,holiday ,5 mints ,0 mints ,5 mints ,1 hour,10 mints,,
Jul 30,70 mints ,2 mints ,0 mints ,5 mints,3 hours,15 mints ,,
Jul 31,holiday ,2 mints,0 mints,10 mints ,1 hours,10 mints ,,
Aug 1,holiday ,2 mints ,0 mints ,4 mints ,80 mints ,15 mints ,,
Aug 2,holiday ,2 mints,12 mints,4 mints,60 mints ,20 mints ,,
Aug 3,90 mints,2 mints ,0 mints ,10 mints ,150 mints ,25 mints ,,
Aug 4,10 mints ,2 mints,0 mints ,7 mints,2 hours ,15 mints ,,
Aug 5,2 hours ,2 mints ,0 mints ,8 mints ,2 hours ,10 mints ,,
Aug 6,0 mints ,2 mints,0 mints,10 mints ,3 hours ,10 mints ,,
Aug 7,2 hours,2 mints ,0 mints,7 mints,1 hour,15 mints,,
Aug 8,holiday ,2 mints,0 mints,9 mints ,60 mints,20 mints ,,
Aug 9,holiday ,2 mints,20 mints ,8 mints,2 hours,15 mints ,,
Aug 10,0 mints ,2 mints ,20 mints ,10 mints ,80 mints,20 mints ,,
Aug 11,shopping ,2 mints ,10 mints ,2 mints ,3 hours,10 mints ,,
Aug 12,shopping ,2 mints,0 mints ,8 mints ,3 hours ,10 mints ,,
Aug 13,5 mints,4 mints ,0 mints,3 mints ,3 hours,20 mints ,,
Aug 14,5 mints,3 mints,0 mints,8 mints,4 hours,15 mints ,,
Aug 15,10 mints,2 mints,20 mints,12 mints,3 hours,10 mints,,
Aug 16,20 mints ,2 mints,15 mints,15 mints,4 hours,10 mints,,
Aug 17,30 mints,2 mints,0 mints,28 mints,4 hours,20 mints,,
Aug 18,30 mints,2 mints,10 mints,13 mints,3 hours,10 mints,,
Aug 19,20 mints,2 mints,30 mints,7 mints,5 hours,15 mints,,
Aug 20,30 mints,2 mints,0 mints,15 mints,150 mints,30 mints,,
Aug 24,30 mints,2 mints,muharram ,7 mints,muharram,2 hours,,
Aug 21,30 mints ,2 mints,muharram,5 mints,muharram ,4 hours,,
Aug 22,30 mints ,2 mints,muharram ,7 mints,muharram ,4 hours,,
Aug 23,20 mints,2 mints,muharram,8 mints,muharram,5 hours,,
Aug 25,20 mints,5 mints,muharram,12 mints,muharram,3 hours,,
Aug 26,10 mints ,2 mints ,muharram ,4 mints ,muharram ,1 hour,,
Aug 27,20 mints ,2 mints,muharram ,5 mints,muharram ,4 hours,,
Aug 28,15 mints,2 mints ,muharram ,5 mints ,muharram ,4 hours,,
Aug 29,9 muharram ,9 muharram ,9 muharram ,9 muharram ,9 muharram ,9 muharram ,,
Aug 30,10 muharram ,10 muharram ,10 muharram ,10 muharram ,10 muharram ,10 muharram ,,
Aug 31,20 mints,2 mints,muharram ,14 mints ,muharram ,2 hours ,,
Sep 1,30 mints,2 mints,0 mints,15 mints,2 hours,20 mints,,
Sep 2,30 mints,2 mints ,15 mints,11 mints,3 hours,10 mints,,
Sep 3,20 mints ,2 mints,20 mints ,5 mints,4 hours,15 mints,,
Sep 4,30 mints,3 mints,25 mints,8 mints,200 mints,20 mints,,
Sep 5,15 mints,2 mints,0 mints,2 mints,150 mints,100 mints,,
Sep 6,20 mints,15 mints,5 mints,10 mints,150 mints,10 mints,,
Sep 7,30 mints,10 mints,15 mints,20 mints,180 mints,30 mints,,
Sep 8,100 mints,10 mints,0 mints,15 mints,180 mints,30 mints,,
Sep 9,20 mints,2 mints,20 muharram ,5 mints,120 mints,200 mints,,
Sep 10,30 mints ,10 mints ,15 mints,10 mints ,150 mints,20 mints,,
Sep 11,20 mints,2 mints,5 mints,2 mints,180 mints,15 mints,,
Sep 12,20 mints,15 mints,5 mints,3 mints,180 mints,20 mints,,
Sep 13,30 mints,10 mints,0 mints,12 mints,150 mints,20 mints,,
Sep 14,30 mints,10 mints,5 mints,5 mints,100 mints,100 mints,,
Sep 15,30 mints,5 mints,120 mints,5 mints,150 mints,15 mints,,
Sep 16,20 mints,5 mints,10 mints,5 mints,180 mints,30 mints,,
Sep 17,30 mints,2 mints,0 mints,7 mints,60 mints,120 mints,,
Sep 18,30 mints,2 mints,2 mints,5 mints,120 mints,15 mints ,,
Sep 19,30 mints,2 mints,25 mints,5 mints,100 mints,20 mints,,
Sep 20,20 mints,10 mints,2 mints,6 mints,60 mints,15 mints,,
Sep 21,30 mints,5 mints,15 mints ,5 mints,120 mints,20 mints,,
Sep 22,20 mints,5 mints,5 mints,5 mints,100 mints,30 mints,,
Sep 23,10 mints,5 mints,2 mints,5 mints ,60 mints,60 mints,,
Sep 24,15 mints,2 mints,15 mints,7 mints,30 mints,80 mints,,
Sep 25,30 mints,1 mint,30 mints,2 mints,100 mints,60 mints,,
Sep 26,holiday ,5 mints,20 mints,5 mints,0 mints,30 mints,,
Sep 27,holiday ,5 mints,10 mints,2 mints,120 mints,30 mints,,
Sep 28,20 mints,5 mints,0 mints,10 mints,0 mints ,100 mints,,
Sep 29,10 mints ,2 mints,10 mints,8 mints,100 mints,30 mints,,
Sep 30,5 mints,5 mints,30 mints,6 mints,150 mints,30 mints,,
Oct 1,20 mints,5 mints,20 mints,3 mints,180 mints,30 mints,,
Oct 2,30 mints,5 mints,30 mints,4 mints,200 mints,20 mints,,
Oct 3,20 mints,5 mints,2 mints,2 mints,150 mints,360 mints,,
Oct 4,30 mints ,5 mints,20 mints,5 mints,120 mints,30 mints ,,
Oct 5,20 mints,5 mints,50 mints,5 mints,180 mints,30 mints,,
Oct 6,15 mints,2 mints,20 mints,5 mints,150 mints,30 mints,,
Oct 7,120 mints,2 mints,5 mints,6 mints,chehlam,180 mints,,
Oct 8,holiday ,2 mints,20 mints,6 mints,chehlam,150 mints,,
Oct 9,holiday,2 mints,10 mints,4 mints,100 mints,20 mints,,
Oct 10,20 mints,5 mints,2 mints,4 mints,120 mints ,30 mints,,
Oct 11,10 mints,2 mints,0 mints,5 mints,20 mints,100 mints,,
Oct 12,20 mints,2 mints,20  mints,6 mints,30 mints,200 mints,,
Oct 13,30 mints,2 mints,10 mints,5 mints ,80 mints,30 mints,,
Oct 14,60 mints,5 mints,5 mints ,4 mints ,30 mints ,20 mints ,,
Oct 15,120 mints,2 mints,10 mints,5 mints,180 mints,15 mints,,
Oct 16,28 safar,2 mints,20 mints,2 mints,28 safar,150 mints,,
Oct 17,180 mints,3 mints,15 mints,2 mints,150 mints,20 mints,,
Oct 18,80 mints ,2 mints ,5 mints,5 mints,140 mints,15 mints,,
Oct 19,holiday,2 mints,15 mints,20 mints,120 mints,100 mints,,
Oct 20,60 mints,2 mints,20 mints,5 mints,180 mints,20 mints,,
Oct 21,80 mints,2 mints,25 mints,7 mints,200 mints ,30 mints,,
Oct 22,200 mints ,2 mints,20 mints,2 mints,150 mints,30 mints,,
Oct 23,60 mints,2 mints,10 mints,4 mints,0 mints,50 mints,,
Oct 24,200 mints,2 mints ,5 mints,3 mints,0 mints,10 mints,,
Oct 25,180 mints,2 mints,o mints ,4 mints,150 mints,30 mints,,
Oct 26,150 mints,2 mints,5 mints,1 mint,100 mints,20 mints,,
Oct 27,200 mints,5 mints,15 mints,2 mints,150 mints,15 mints,,
Oct 28,180 mints,2 mints,10 mints,8 mints,40 mints,20 mints,,
Oct 29,100 mints,5 mints,20 mints,3 mints,120 mints,30 mints,,
Oct 30,holiday,2 mints,10 mints,5 mints,50 mints,80 mints,,
Oct 31,holiday ,2 mints,25 mints,4 mints,0 mints,10 mints,,
Nov 1,80 mints,2 mints,10 mints,3 mints,15 mints,10 mints,,
Nov 2,60 mints,2 mints,25 mints,4 mints,160 mints,20 mints,,
Nov 3,210 mints,2 mints,15 mints,8 mints,0 mints,5 mints,,
Nov 4,0 mints,2 mints,20 mints,8 mints,10 mints,10 mints,,
Nov 5,180 mints,5 mints,15 mints,5 mints,10 mints,5 mints,,
Nov 6,holiday ,3 mints ,100 mints,6 mints,60 mints,10 mints ,,
Nov 7,60 mints,2 mints,15 mints,5 mints,0 mints,5 mints,,
Nov 8,250 mints,2 mints,5 mints,5 mints,40 mints,60 mints,,
Nov 9,100 mints,7 mints,80 mints,6 mints ,0 mints,10 mints,,
Nov 10,120 mints,5 mints,30 mints,5 mints,10 mints,10 mints ,,
Nov 11,150 mints,10 mints,25 mints,5 mints,0 mints,10 mints,,
Nov 12,30 mints,5 mints,90 mints,5 mints,0 mints,10 mints,,
Nov 13,holiday ,3 mints,20 mints,7 mints,0 mints,5 mints,,
Nov 14,160 mints,5 mints,0 mints,3 mints,180 mints ,6 mints,,
Nov 15,120 mints,10 mints ,5 mints,90 mints,60 mints,30 mints ,,
Nov 16,holiday,5 mints,100 mints,2 mints,30 mints,20 mints,,
Nov 17,60 mints,2 mints,120 mints,3 mints,80 mints,10 mints,,
Nov 18,180 mints,2 mints ,70 mints,1 mints,150 mints,5 mints,,
Nov 19,360 mints,2 mints,0 mints,3 mints,0 mints,5 mints,,
Nov 20,60 mints,2 mints,20 mints,5 mints,2 mints,60 mints,,
Nov 21,180 mints ,2 mints,0 mints,7 mints,100 mints,5 mints,,
Nov 22,holiday ,5 mints,0 mints ,11 mints,60 mints,10 mints,,
Nov 23,200 mints,5 mints,0 mints,3 mints,0 mints,15 mints,,
Nov 24,220 mints,10 mints,60 mints,5 mints,30 mints,10 mints,,
Nov 25,60 mints,15 mints,5 mints,4 mints,0 mints,20 mints,,
Nov 26,150 mints ,5 mints,0 mints ,4 mints,80 mints ,5 mints ,,
Nov 27,100 mints,5 mints,2 mints,5 mints ,120 mints ,10 mints ,,
Nov 28,330 mints,5 mints ,0 mints,2 mints,120 mints,20 mints,,
Nov 29,240 mints,5 mints,20 mints,15 mints,0 mints,5 mints,,
Nov 30,60 mints,10 mints,60 mints,5 mints,120 mints,20 mints,,
Dec 1,180 mints,10 mints,20 mints,3 mints,60 mints,5 mints,,
Dec 2,150 mints,5 mints,30 mints,6 mints,70 mints ,5 mints,,
Dec 3,120 mints,10 mints,40 mints,7 mints,80 mints,5 mints,,
Dec 4,180 mints,5 mints,30 mints,3 mints,100 mints,6 mints,,
Dec 5,200 mints,60 mints,0 mints,10 mints,30 mints,5 mints,,
Dec 6,120 mints,5 mints,30 mints,3 mints,20 mints,10 mints,,
Dec 7,240 mints,5 mints,50 mints,2 mints,20 mints,15 mints,,
Dec 8,180 mints,5 mints,60 mints,5 mints,40 mints,10 mints,,
